Bytes,Memcpy,Memcpy_Moop,Memcpy_Fast
161,12305,3295,3545
162,12595,3325,3995
163,12865,3625,4185
164,12430,3415,3405
165,12695,3685,3995
166,12955,3875,4135
167,13305,4015,4535
168,12740,3325,2335
169,12755,3465,2705
170,13075,3490,2965
171,13365,3895,3255
172,12580,3565,2485
173,12855,3795,2945
174,13285,3825,3375
175,13545,4125,3505
176,13210,3620,2505
177,13350,3845,2995
178,13680,3755,3265
179,13920,4075,3555
180,13470,4070,2815
181,13420,4325,3445
182,14040,4235,3715
183,14360,4685,3875
184,13830,3775,2825
185,13990,4165,3325
186,14280,4085,3685
187,14500,4395,3965
188,14040,4255,3145
189,14300,4605,3645
190,14670,4475,3915
191,14910,4785,4205
192,14420,3470,3155
193,14450,3785,3655
194,14770,3815,3925
195,15080,4275,4215
196,14630,3905,3475
197,14960,4175,3975
198,15180,4205,4245
199,15490,4505,4535
200,15010,3835,2425
201,14905,3935,2815
202,15245,3980,3075
203,15555,4235,3385
204,14760,4520,2595
205,15205,4285,3035
206,15525,4335,3325
207,15745,4635,3615
208,15440,4140,2615
209,15505,4230,3215
210,15845,4245,3375
211,16135,4545,3685
212,15650,4420,2925
213,15905,4695,3425
214,16185,4725,3695
215,16485,5125,3985
216,15980,4245,2935
217,16165,4545,3545
218,16455,4675,3705
219,16675,4875,3995
220,16240,4775,3235
221,16485,4935,3775
222,16845,5125,4025
223,17065,5265,4315
224,16570,3980,3245
225,16685,4315,3765
226,17025,4305,4035
227,17335,4705,4325
228,16830,4375,3695
229,17075,4765,4085
230,17515,4695,4475
231,17655,5085,4645
232,17150,4305,2555
233,17105,4525,2945
234,17465,4570,3205
235,17745,4745,3480
236,17030,4815,2705
237,17405,4795,3145
238,17725,4825,3415
239,17935,5105,3705
240,17660,4470,2705
241,17705,4725,3215
242,17995,4885,3505
243,18435,5050,3775
244,17830,4910,3035
245,18165,5185,3535
246,18455,5215,3805
247,18695,5515,4095
248,18250,4755,3025
249,18215,5195,3545
250,18550,5085,3815
251,18895,5365,4105
252,18460,5155,3345
253,18755,5465,3865
254,19045,5535,4155
255,19395,5855,4425
256,18920,4600,3435
257,18955,4765,3875
258,19275,4845,4145
259,19515,5095,4435
260,18980,4865,3695
261,19425,5205,4195
262,19555,5345,4515
263,19925,5565,4755
264,19420,4795,4190
265,19305,5015,4470
266,19615,4980,4820
267,19925,5315,4980
268,19260,5015,4220
269,19665,5265,4660
270,19785,5525,4880
271,20185,5695,5200
272,19940,4960,4280
273,20055,5195,4880
274,20265,5515,5000
275,20485,5545,5290
276,20070,5480,4550
277,20275,5675,5050
278,20685,5705,5500
279,20865,6035,5610
280,20380,5225,4560
281,20525,5525,5060
282,20815,5555,5470
283,21085,5885,5620
284,20610,5625,4880
285,21005,5985,5380
286,21325,5945,5650
287,21525,6405,5940
288,20990,4940,5010
289,21155,5255,5390
290,21525,5265,5660
291,21615,5685,5920
292,21230,5505,5210
293,21635,5645,5710
294,21815,5675,6070
295,22135,6075,6350
296,21690,5385,4050
297,21555,5405,4510
298,21895,5600,4750
299,22105,5705,5020
300,21380,5685,4260
301,21805,5775,4680
302,22165,5915,4970
303,22455,6185,5400
304,22140,5530,4480
305,22245,5785,4890
306,22395,5735,5060
307,22785,6015,5330
308,22220,5890,4590
309,22495,6165,5110
310,22915,6295,5360
311,23135,6595,5650
312,22600,5875,4600
313,22785,6115,5100
314,23135,6145,5370
315,23285,6445,5840
316,22940,6115,4900
317,23135,6405,5550
318,23425,6435,5790
319,23805,6735,5980
320,23260,5430,4910
321,23335,5845,5430
322,23725,5775,5700
323,23935,6075,6110
324,23580,6025,5360
325,23665,6265,5750
326,23965,6245,6020
327,24345,6465,6420
328,23760,5875,4350
329,23825,5895,4760
330,24045,6040,5000
331,24315,6425,5290
332,23690,6075,4530
333,23955,6295,4970
334,24345,6375,5220
335,24665,6595,5510
336,24340,6210,4550
337,24455,6175,5170
338,24595,6295,5330
339,25025,6505,5600
340,24450,6360,4930
341,24795,6755,5360
342,24985,6685,5630
343,25405,7015,5920
344,24880,6355,4870
345,24945,6505,5500
346,25305,6615,5640
347,25605,6915,5930
348,25190,6895,5230
349,25285,6895,5690
350,25485,7155,6090
351,25935,7305,6250
352,25350,5940,5180
353,25535,6235,5700
354,25895,6365,6150
355,26125,6695,6370
356,25710,6435,5630
357,26025,6625,6020
358,26215,6735,6330
359,26585,6955,6580
360,26020,6425,4160
361,26025,6485,4680
362,26375,6530,4970
363,26555,6785,5100
364,25840,6585,4410
365,26285,6835,4790
366,26535,6915,5030
367,26845,7065,5340
368,26390,6510,4470
369,26505,6945,5010
370,26945,6695,5120
371,27135,7285,5410
372,26720,6870,4670
373,27025,7145,5170
374,27315,7175,5440
375,27655,7475,5730
376,27050,6695,4680
377,27225,6995,5180
378,27365,7125,5450
379,27685,7425,5740
380,27270,7185,4980
381,27485,7435,5500
382,27835,7415,5860
383,28235,8005,6060
384,27700,6430,5040
385,27815,6805,5510
386,28125,6855,5780
387,28325,7055,6200
388,27885,6945,5390
389,36655,7115,5900
390,28455,7145,6240
391,28775,7575,6390
392,28230,6755,4450
393,28225,6975,4840
394,28545,7210,5100
395,28765,7175,5500
396,28090,6995,4570
397,28415,7225,5160
398,28625,7255,5300
399,28965,7555,5590
400,28670,6950,4740
401,28855,7155,5240
402,28995,7185,5390
403,29345,7565,5680
404,28930,7370,4940
405,29185,7925,5610
406,29225,7765,5680
407,29865,7965,6000
408,29260,7185,4930
409,29445,7585,5540
410,29705,7615,5790
411,29860,7895,6140
412,29520,7685,5380
413,29745,7975,5900
414,30105,7905,6040
415,30365,8285,6430
416,29900,7060,5280
417,30035,7215,5880
418,30260,7325,6130
419,30525,7645,6340
420,30040,7315,5580
421,30335,7605,6100
422,30675,7635,6480
423,30975,7935,6660
424,30150,7345,4500
425,30435,7365,4895
426,30695,7510,5130
427,31015,7840,5600
428,30360,7615,4620
429,30665,7815,5210
430,30945,7745,5350
431,31235,8045,5660
432,30940,7490,4680
433,31055,7645,5310
434,31295,7775,5440
435,31545,7975,5860
436,31070,7860,4970
437,31375,8175,5490
438,31715,8425,5760
439,32005,8605,6050
440,31480,7775,5000
441,32215,8075,5640
442,31875,8135,5770
443,32175,8305,6060
444,31660,8095,5300
445,31955,8475,5820
446,32305,8395,6160
447,32595,8795,6380
448,32060,7390,5490
449,32145,7845,5830
450,32485,7815,6100
451,32725,8035,6570
452,32280,7905,5650
453,32655,8175,6310
454,32895,8125,6420
455,33235,8425,6710
456,32620,7835,4800
457,32655,7955,5190
458,32945,8000,5560
459,33255,8255,5720
460,32450,8245,5080
461,32835,8205,5380
462,33115,8285,5650
463,33465,8635,6020
464,33070,7900,4980
465,33255,8135,5470
466,33495,8265,5870
467,33785,8465,6030
468,33430,8420,5440
469,33615,8715,5790
470,33925,8805,6060
471,34165,9105,6510
472,33910,8265,5410
473,33805,8465,5800
474,34065,8595,6200
475,34285,9025,6360
476,33900,8665,5600
477,34285,8855,6120
478,34655,8885,6390
479,34875,9345,6680
480,34370,8030,5610
481,34415,8195,6240
482,34665,8325,6400
483,35145,8625,6690
484,34580,8395,5930
485,34885,8585,6560
486,35085,8615,6850
487,35315,8995,7010
488,34830,8245,4660
489,34795,8635,4980
490,35125,8490,5240
491,35375,8990,5710
492,34750,8545,4730
493,35075,8795,5210
494,35435,8835,5460
495,35645,9025,5750
496,35270,8370,4870
497,35435,8775,5280
498,35695,8755,5570
499,35965,9245,5910
500,35620,8830,5080
501,35845,9255,5780
502,36085,9255,6020
503,36495,9415,6160
504,36060,8675,5090
505,36005,9055,5700
506,36315,9135,5940
507,36565,9385,6290
508,36210,9335,5540
509,36505,9505,5930
510,36855,9455,6340
511,36975,9675,6490
512,36590,8470,5440
513,36695,8765,5940
514,36885,8715,6210
515,37295,9115,6610
516,36670,8805,5760
517,37155,9225,6440
518,37285,9105,6530
519,37585,9565,6820
520,37030,8715,4890
521,36975,8835,5280
522,37345,8980,5520
523,37635,60995,5780
524,37020,9055,5060
525,37265,9185,5490
526,37545,9315,5880
527,37865,9615,6030
528,37570,9010,5070
529,37655,9385,5700
530,37965,9245,5830
531,38295,9545,6120
532,37820,9320,5380
533,38025,9595,6010
534,38335,9725,6150
535,38645,9925,6600
536,38090,9245,5370
537,38185,9545,5890
538,38535,9475,6300
539,38815,10065,6735
540,38500,9645,5810
541,38655,9835,6310
542,38995,9865,6610
543,39345,10165,6840
544,38840,8860,5830
545,38915,9175,6350
546,39105,9305,6490
547,39435,9505,6860
548,39010,9565,6020
549,39195,9695,6540
550,39535,9675,6810
551,39865,9975,7100
552,39360,9205,5080
553,39295,9425,5320
554,39655,9370,5560
555,39785,9905,5870
556,39175,9445,5190
557,39495,9825,5530
558,39755,9865,5910
559,40175,10155,6070
560,39720,9370,5090
561,39775,9605,5600
562,40185,9615,5870
563,40475,10035,6180
564,40030,9940,5440
565,40375,10085,5920
566,40545,10215,6190
567,40935,10495,6480
568,40290,9895,5430
569,40385,9915,5930
570,40815,9965,6200
571,41195,10365,6490
572,40660,10035,5750
573,40855,10325,6250
574,41195,10355,6520
575,41485,10655,6810
576,40910,9450,5820
577,41045,9825,6260
578,41235,9775,6690
579,41705,10145,6820
580,41240,9865,6060
581,41385,10135,6580
582,41805,10185,6850
583,42105,10385,7140
584,41600,9795,5350
585,41455,9895,5730
586,41775,10150,5860
587,42045,10215,6150
588,41270,10015,5350
589,41685,10265,5810
590,42055,10275,6080
591,42275,10505,6450
592,42060,9860,5520
593,42185,10095,6080
594,42425,10205,6170
595,42715,10425,6530
596,42190,10440,5720
597,42565,10575,6350
598,42675,10705,6540
599,43025,10905,6900
600,42580,10225,5730
601,42595,10605,6230
602,55425,10455,6630
603,43225,10835,6790
604,42850,10625,6030
605,43165,11085,6550
606,43365,10925,6820
607,43655,11245,7250
608,43220,9940,6060
609,43205,10155,6680
610,43575,10265,6830
611,43815,10585,7200
612,43370,10335,6360
613,43675,10815,6880
614,43965,10705,7200
615,44025,11105,7570
616,56780,10185,5020
617,43765,10405,5530
618,43945,10450,5670
619,44235,10705,6090
620,43570,10425,5160
621,43945,10655,5620
622,44285,11025,5890
623,44555,11115,6200
624,44180,10430,5220
625,44305,10685,5840
626,44585,10715,6100
627,44775,10995,6400
628,44360,10870,5690
629,44715,11165,6030
630,44845,11325,6300
631,45455,11735,6590
632,44770,10715,5650
633,44865,11015,6040
634,45205,11045,6310
635,45405,11245,6600
636,45030,11115,5860
637,45305,11385,6490
638,45625,11385,6630
639,45875,11665,6990
640,45400,10620,5850
641,45455,10725,6370
642,45785,10805,6640
643,46115,11055,6930
644,45505,11005,6350
645,45790,11135,6690
646,46125,11145,6960
647,46555,11465,7350
648,45920,10775,5300
649,45895,10955,5830
650,46275,10840,6130
651,46535,11095,6360
652,45750,10915,5490
653,46215,11225,5900
654,46485,11275,6170
655,46735,11575,6640
656,46340,10970,5500
657,46515,11345,5990
658,114810,11335,6230
659,47185,11505,6690
660,46730,11280,5790
661,46985,11635,6310
662,47125,11665,6580
663,47445,11965,6870
664,46990,11205,5920
665,47235,11535,6320
666,47475,11675,6590
667,47605,11785,6880
668,47220,11740,6140
669,47495,11795,6640
670,47725,11905,7050
671,48065,12225,7330
672,47510,10920,6305
673,47725,11365,6830
674,48015,11455,6920
675,48215,11465,7210
676,47770,11235,6450
677,48155,11605,7090
678,48325,11555,7240
679,48605,11955,7530
680,48270,11265,5480
681,48145,11385,5800
682,48485,11480,6070
683,48755,11925,6410
684,47970,11485,5480
685,48345,11715,6070
686,48615,12680,6300
687,48945,12125,6630
688,48580,11405,5540
689,48815,11665,6030
690,49005,11745,6300
691,49275,11895,6590
692,48750,12040,5900
693,49075,12045,6480
694,49415,12225,6620
695,49695,12475,6910
696,49170,11695,5970
697,49355,11975,6450
698,49595,12025,6630
699,49955,12275,7020
700,49945,12285,6180
701,49755,12365,6680
702,49975,12445,6950
703,50205,12715,7350
704,49720,11460,6190
705,49845,11705,6690
706,50215,11735,6960
707,50455,12035,7250
708,49980,12015,6510
709,50285,12095,7010
710,50575,12125,7390
711,50905,12425,7640
712,50320,11755,5660
713,50425,11855,6030
714,50525,11920,6290
715,51085,12225,6580
716,50110,11975,5830
717,50635,12395,6240
718,50835,12155,6510
719,51175,12455,6800
720,50890,11950,5840
721,50935,12155,6410
722,51245,12165,6670
723,51645,12465,7020
724,50990,12240,6150
725,51295,12825,6650
726,51665,12665,7050
727,51865,12945,7370
728,51080,12315,6140
729,51705,12465,6730
730,51945,12515,6930
731,52075,12795,7350
732,51710,12585,6460
733,51835,13065,6980
734,52315,12935,7250
735,52535,13205,7540
736,52020,11900,6470
737,52065,12245,7100
738,52375,12145,7260
739,52785,12445,7550
740,52130,12315,6830
741,52845,12605,7310
742,52895,12695,7580
743,53145,12915,7870
744,52560,12245,5580
745,52505,12345,5980
746,52895,12410,6100
747,53115,12715,6410
748,52400,12465,5730
749,52835,12745,6190
750,53055,12915,6450
751,53475,13045,6740
752,53090,12440,5760
753,53255,12645,6160
754,53355,12675,6695
755,53785,13055,6880
756,53360,12730,6070
757,53625,13025,6580
758,53865,13325,6730
759,54125,13355,7150
760,53560,12675,6020
761,53695,12975,6520
762,54005,13055,6910
763,54280,13205,7150
764,53820,13105,6270
765,54165,13585,6790
766,54345,13395,7180
767,54775,13930,7460
768,54480,12390,6300
769,54435,12685,6800
770,54675,12715,7210
771,54935,13035,7490
772,54520,12805,6620
773,54675,13265,7250
774,55045,13105,7490
775,55205,13405,7680
776,54850,12735,5750
777,54895,12835,6140
778,55035,12950,6520
779,55395,13155,6800
780,54550,13210,5980
781,55075,13395,6460
782,55315,13185,6600
783,55625,13435,6890
784,55210,12780,5930
785,55325,13115,6420
786,55715,13165,6800
787,55955,13465,6980
788,55460,13320,6220
789,55655,13785,6910
790,56005,13645,7010
791,56355,13995,7300
792,55710,13215,6350
793,55925,13575,6720
794,56255,13475,7150
795,56535,13795,7310
796,55930,13565,6710
797,56270,14025,7070
798,56605,13885,7470
799,56945,14085,7740
800,56450,12830,6580
801,56595,13175,7080
802,56895,13205,7480
803,57155,13505,7640
804,56620,13195,7000
805,56815,13755,7745
806,57305,13745,7770
807,57515,13895,8090
808,57020,13225,5770
809,56965,13345,6160
810,57245,13440,6420
811,57430,13645,6850
812,56810,13645,5960
813,57105,13745,6440
814,57475,13725,6640
815,57725,14035,7020
816,57500,13270,6050
817,57655,13605,6460
818,57735,13735,6730
819,58165,13955,7150
820,57540,14000,6390
821,58015,14105,6960
822,58215,14185,7230
823,58555,14465,7340
824,58050,13655,6360
825,58125,13935,6790
826,58405,13885,7060
827,58755,14505,7450
828,58260,14055,6730
829,58575,14345,7150
830,58905,14385,7685
831,59155,14785,7670
832,58640,13420,6620
833,58815,13665,7120
834,59105,13715,7390
835,59335,14185,7680
836,58840,13835,6920
837,59215,14055,7440
838,59425,14105,7710
839,59665,14405,8000
840,59240,13715,6210
841,59105,13815,6600
842,59505,14070,6840
843,59715,14265,7010
844,59190,13835,6210
845,59535,14165,6740
846,59655,14245,7070
847,60075,14495,7360
848,59670,13860,6270
849,59785,14115,6760
850,60085,14315,7210
851,60315,14495,7320
852,59820,14300,6580
853,60165,14595,7080
854,60445,14605,7480
855,61285,15035,7640
856,60240,14145,6590
857,60355,14685,7090
858,60625,14455,7360
859,60915,14805,7650
860,60500,14595,6890
861,60735,14835,7480
862,61115,14845,7680
863,61425,15165,8100
864,60910,13860,6900
865,61085,14365,7560
866,61255,14185,7690
867,61555,14405,8105
868,61230,14405,7360
869,61395,14465,7870
870,61765,14495,8120
871,62045,14925,8385
872,61450,14395,6040
873,61345,14325,6430
874,61625,14350,6530
875,61975,14575,6820
876,61270,14425,6110
877,61545,14655,6480
878,61915,14945,6890
879,62135,15055,7040
880,61840,14250,6060
881,62005,14605,6640
882,62205,14685,6840
883,62605,14935,7130
884,62070,14790,6500
885,62325,15085,6960
886,62725,15185,7160
887,62985,15415,7560
888,62590,14635,6490
889,62595,14915,6900
890,62895,14995,7330
891,63125,15375,7590
892,62730,15015,6720
893,63005,15495,7220
894,63185,15365,7490
895,63575,15655,7780
896,63050,14350,6710
897,63245,14645,7370
898,63505,14675,7630
899,63745,14975,7870
900,63310,14955,7160
901,63565,15105,7550
902,115530,15215,8020
903,64125,15365,8160
904,63680,14695,6180
905,63575,14715,6570
906,63915,14860,6830
907,64105,15285,7180
908,63510,14915,6300
909,63825,15165,6760
910,64145,15225,7030
911,64525,15495,7450
912,64120,14840,6480
913,64335,15810,6900
914,64905,15365,7120
915,64745,15425,7410
916,64290,15280,6800
917,64545,15575,7310
918,64865,15605,7570
919,65135,15885,7730
920,64670,15295,6790
921,64815,15455,7180
922,65265,15435,7450
923,65345,15785,7850
924,65010,15505,6980
925,64865,15925,7570
926,65455,15845,7940
927,65725,16335,8190
928,65370,14840,7010
929,65425,15135,7670
930,65695,15215,7780
931,65935,15465,8200
932,65590,15235,7310
933,65875,15525,7830
934,66065,15745,8100
935,66515,15855,8480
936,65880,15235,6565
937,65805,15640,6750
938,66145,15400,6960
939,66305,15605,7140
940,65770,15405,6340
941,66025,28215,6800
942,66355,15815,7070
943,66625,15965,7360
944,66450,15330,6510
945,66375,15585,6890
946,66805,15665,7160
947,67165,15915,7450
948,66505,16010,6820
949,66775,16075,7210
950,67115,16075,7590
951,67565,16395,7770
952,66860,15615,6870
953,66915,15895,7260
954,67455,15990,7570
955,67675,16435,7850
956,67030,16015,7020
957,67315,16285,7540
958,67795,16315,7810
959,68055,84295,8100
960,67580,15460,7050
961,67615,15625,7550
962,67905,15895,7820
963,68105,16005,8110
964,67610,15745,7350
965,67935,16015,7870
966,68285,16045,8140
967,68735,16345,8430
968,68150,15705,6640
969,67915,15985,6890
970,68395,15870,7270
971,68595,16205,7440
972,67870,15895,6640
973,68215,16145,7230
974,68455,16175,7480
975,68945,16455,7660
976,68510,16010,6820
977,68665,16055,7190
978,68925,16105,7640
979,69155,16285,7750
980,68830,16310,7010
981,69065,16535,7510
982,69445,16760,7780
983,69575,17125,8070
984,68990,16105,7140
985,69125,16385,7520
986,69675,16415,7940
987,69795,16715,8170
988,69340,16555,7390
989,69605,16765,7840
990,69770,17045,8220
991,70265,17105,8530
992,69820,15820,7350
993,70495,16245,7950
994,70135,16145,8250
995,70395,16495,8490
996,69820,16365,7650
997,70135,16745,8320
998,70515,16535,8570
999,70845,16885,8730
1000,70360,16165,6310
1001,70245,16285,6700
1002,70625,16380,6960
1003,70845,16635,7250
1004,70090,16625,6575
1005,70495,16795,6910
1006,70665,16645,7270
1007,71095,16995,7580
1008,70780,16290,6580
1009,70825,16565,7000
1010,71100,16645,7270
1011,71485,17115,7560
1012,70940,16750,6820
1013,71165,17075,7320
1014,71425,17055,7590
1015,71815,17355,7880
1016,71060,16705,6980
1017,71555,16875,7390
1018,71795,17155,7670
1019,72065,17205,7890
1020,71600,16975,7310
1021,71895,17265,7830
1022,72125,17295,7920
1023,72525,17685,8320
1024,71910,16530,7170
1025,72125,16605,7660
1026,72865,16765,8090
1027,72725,16935,8330
1028,72080,16755,7460
1029,72285,16995,8070
1030,72745,17025,8250
1031,73125,17565,8600
1032,72570,16635,6590
1033,72515,16775,7000
1034,72755,16850,7260
1035,73025,17055,7530
1036,72320,16875,6730
1037,73265,17345,7290
1038,73095,17135,7460
1039,73265,17435,7910
1040,73060,16800,6790
1041,73115,17055,7450
1042,73475,17165,7550
1043,73575,17365,7840
1044,73120,17410,7100
1045,73565,17565,7670
1046,73765,17685,7870
1047,73965,17865,8160
1048,73300,17275,7080
1049,73615,17365,7720
1050,73905,17635,7980
1051,74265,17695,8280
1052,73760,17565,7430
1053,73995,17805,7930
1054,74395,17875,8200
1055,74615,18235,8600
1056,74070,17040,7440
1057,74205,17195,7940
1058,143110,17275,8180
1059,74975,17425,8500
1060,74320,17245,7870
1061,74615,17485,8260
1062,74855,17705,8680
1063,75215,17865,8940
1064,74700,17145,6630
1065,74595,17265,7020
1066,74915,17390,7460
1067,75295,17565,7640
1068,74630,18300,6770
1069,75315,17895,7300
1070,75245,17675,7630
1071,75555,18025,7930
1072,75200,17290,6940
1073,75325,17575,7320
1074,75565,17555,7590
1075,75875,18145,8010
1076,75410,17710,7130
1077,75655,18005,7640
1078,75875,18770,7910
1079,76355,18515,8330
1080,75800,17625,7260
1081,75855,18045,7690
1082,76145,17885,7920
1083,76510,18285,8210
1084,75950,17975,7570
1085,76275,18245,7970
1086,76535,18375,8240
1087,76825,18765,8650
1088,76440,18005,7480
1089,76775,17585,8090
1090,76795,17685,8380
1091,76955,17965,8700
1092,76590,17685,7780
1093,76895,18265,8300
1094,77125,18005,8700
1095,77445,18305,9010
1096,76880,17715,6930
1097,77135,17995,7590
1098,77365,18845,7850
1099,77825,18605,8140
1100,77110,18175,7310
1101,77405,18395,7780
1102,77655,18435,8160
1103,77985,18735,8400
1104,77530,18030,7430
1105,77715,18545,7870
1106,77985,18335,8210
1107,78285,18635,8530
1108,77820,18385,8005
1109,78095,18885,8280
1110,78325,18765,8580
1111,78765,19225,8770
1112,78180,18435,7870
1113,78285,18755,8250
1114,78595,18665,8530
1115,78875,19035,8890
1116,78410,18775,8090
1117,78735,19285,8520
1118,78995,19930,8840
1119,79345,19385,9250
1120,78780,18090,8210
1121,78855,18405,8650
1122,79185,18365,8820
1123,79415,18875,9110
1124,79060,18505,8530
1125,79345,18845,8900
1126,79525,18825,9280
1127,79925,19085,9510
1128,79820,18575,7080
1129,79275,18695,7360
1130,79535,18570,7660
1131,79875,18785,7920
1132,79110,18575,7110
1133,79495,18825,7670
1134,79945,18865,7880
1135,80055,19375,8230
1136,79750,18500,7130
1137,79925,18755,7700
1138,148050,19005,7940
1139,80575,19095,8230
1140,79990,18940,7600
1141,80275,19535,7990
1142,80615,19325,8260
1143,80875,19575,8550
1144,80370,18965,7480
1145,80395,19165,8000
1146,80770,19125,8270
1147,81125,19635,8660
1148,80630,19920,7780
1149,80855,19485,8360
1150,81195,19515,8640
1151,81475,19935,8880
1152,81000,18500,7810
1153,81095,19035,8410
1154,81285,18925,8600
1155,81605,19155,8940
1156,81090,18955,8130
1157,81595,19215,8650
1158,81875,19690,9010
1159,82115,19805,9210
1160,81580,18845,7280
1161,81385,19075,7660
1162,81765,19020,8060
1163,82025,19275,8310
1164,81280,19065,7510
1165,81775,19560,7880
1166,82045,19465,8250
1167,82355,19725,8560
1168,82010,86825,7520
1169,94705,19405,8050
1170,82515,19455,8320
1171,82715,19585,8570
1172,82320,19710,7890
1173,82675,19805,8390
1174,82705,19765,8560
1175,83095,20065,8850
1176,82750,19355,7880
1177,82665,32155,8420
1178,83025,20360,8540
1179,83655,19915,8860
1180,82830,19675,8180
1181,83105,19975,8620
1182,83335,20005,8890
1183,83695,20385,9290
1184,83080,19190,8090
1185,83325,19385,8620
1186,83485,19325,8980
1187,83965,19645,9190
1188,83400,19405,8515
1189,83815,19855,8950
1190,83975,19945,9320
1191,84285,20085,9510
1192,83850,19335,7320
1193,83575,19500,7810
1194,83975,19510,7950
1195,84195,20005,8310
1196,83580,19555,7390
1197,83855,19805,7930
1198,84245,20640,8270
1199,84555,20195,8530
1200,84270,19480,7450
1201,84335,20135,7990
1202,84685,19775,8390
1203,84795,20075,8620
1204,84530,19920,7830
1205,84795,20215,8310
1206,85005,20255,8720
1207,85355,20555,8950
1208,84840,20080,7900
1209,85055,20075,8320
1210,85255,20175,8670
1211,85495,20405,8960
1212,85030,20245,8100
1213,85255,20655,8640
1214,85545,20495,8980
1215,85845,20795,9340
1216,85290,19540,8230
1217,85545,19875,8700
1218,85605,19985,9100
1219,86025,20345,9300
1220,85540,19905,8510
1221,85885,20245,9060
1222,86085,20225,9240
1223,86535,20525,9670
1224,85980,19835,7730
1225,85975,20165,8110
1226,86225,20070,8400
1227,86495,21120,8640
1228,86020,20045,7720
1229,86325,20305,8230
1230,86565,20335,8590
1231,86765,20955,8820
1232,86350,19970,7780
1233,86485,20305,8350
1234,86895,20265,8590
1235,87165,20565,8880
1236,86630,20720,8220
1237,95345,20865,8640
1238,87255,20745,8910
1239,87420,21115,9290
1240,87180,20265,8110
1241,87075,20565,8680
1242,87305,20865,9060
1243,87775,20895,9320
1244,87240,20735,8450
